rate_name,class,quality,bathroom,bedding,capacity,club,balcony,view
Studio room with Kremlin View,studio,standard,private bathroom,double/double-or-twin,double,not club,no balcony,kremlin view
Deluxe Suite - Kremlin View,suite,deluxe,private bathroom,double/double-or-twin,double,not club,no balcony,kremlin view
Junior Suite with Kremlin View,junior-suite,standard,private bathroom,double/double-or-twin,double,not club,no balcony,kremlin view
Luxury Room - Kremlin View,room,luxury,private bathroom,double/double-or-twin,double,not club,no balcony,kremlin view
Kremlin View Apartment,apartment,standard,private bathroom,double/double-or-twin,double,not club,no balcony,kremlin view
Kremlin View Double Room,room,standard,private bathroom,double/double-or-twin,double,not club,no balcony,kremlin view
Kremlin View Suite - Private Balcony,suite,premium,private bathroom,double/double-or-twin,double,not club,balcony,kremlin view
Standard Room with Kremlin View,room,standard,private bathroom,double/double-or-twin,double,not club,no balcony,kremlin view
Premium Studio - Kremlin View,studio,premium,private bathroom,double/double-or-twin,double,not club,no balcony,kremlin view
Deluxe Kremlin View Room,room,deluxe,private bathroom,double/double-or-twin,double,not club,no balcony,kremlin view
Dubai Marina View Suite,suite,standard,private bathroom,double/double-or-twin,double,not club,no balcony,dubai-marina view
Studio with Dubai Marina View,studio,standard,private bathroom,double/double-or-twin,double,not club,no balcony,dubai-marina view
Luxury Dubai Marina View Room,room,luxury,private bathroom,double/double-or-twin,double,not club,no balcony,dubai-marina view
Dubai Marina View Apartment,apartment,standard,private bathroom,double/double-or-twin,double,not club,no balcony,dubai-marina view
Dubai Marina View Junior Suite,junior-suite,standard,private bathroom,double/double-or-twin,double,not club,no balcony,dubai-marina view
Standard Room with Dubai Marina View,room,standard,private bathroom,double/double-or-twin,double,not club,no balcony,dubai-marina view
Premium Dubai Marina View Room,room,premium,private bathroom,double/double-or-twin,double,not club,no balcony,dubai-marina view
Deluxe Suite - Dubai Marina View,suite,deluxe,private bathroom,double/double-or-twin,double,not club,no balcony,dubai-marina view
Dubai Marina View Twin Room,room,standard,private bathroom,double/double-or-twin,double,not club,no balcony,dubai-marina view
Dubai Marina View Luxury Studio,studio,luxury,private bathroom,double/double-or-twin,double,not club,no balcony,dubai-marina view
