rate_name,class,quality,bathroom,bedding,capacity,club,balcony,view
Platinum King Suite with Sea View,suite,platinum,private bathroom,double/double-or-twin,double,not club,no balcony,sea view
Platinum Junior Suite - Garden View,junior-suite,platinum,private bathroom,double/double-or-twin,double,not club,balcony,garden view
Platinum Villa with Private Pool,villa,platinum,private bathroom,double/double-or-twin,double,not club,balcony,pool view
Platinum Studio - Burj-Khalifa View,studio,platinum,private bathroom,double/double-or-twin,double,not club,no balcony,burj-khalifa view
Platinum Chalet with Panoramic View,chalet,platinum,private bathroom,double/double-or-twin,double,not club,balcony,panoramic view
Platinum Suite - City View,suite,platinum,private bathroom,double/double-or-twin,double,not club,no balcony,city view
Platinum Apartment - Sea Front,apartment,platinum,private bathroom,double/double-or-twin,double,not club,balcony,sea front
Platinum Cottage - Mountain View,cottage,platinum,private bathroom,double/double-or-twin,double,not club,no balcony,mountain view
Platinum Villa - Ocean View,villa,platinum,private bathroom,double/double-or-twin,double,not club,balcony,ocean view
Platinum Suite - Sunset View,suite,platinum,private bathroom,double/double-or-twin,double,not club,no balcony,sunset view
Platinum Studio with Lake View,studio,platinum,private bathroom,double/double-or-twin,double,not club,no balcony,lake view
Platinum Junior Suite with Street View,junior-suite,platinum,private bathroom,double/double-or-twin,double,not club,no balcony,street view
Platinum Suite - Bosphorus View,suite,platinum,private bathroom,double/double-or-twin,double,not club,no balcony,bosphorus view
Platinum Chalet with Courtyard View,chalet,platinum,private bathroom,double/double-or-twin,double,not club,no balcony,courtyard view
Platinum Villa - Golf View,villa,platinum,private bathroom,double/double-or-twin,double,not club,balcony,golf view
