rate_name,class,quality,bathroom,bedding,capacity,club,balcony,view
Студия с видом на Кремль,studio,standard,private bathroom,double/double-or-twin,double,not club,no balcony,kremlin view
Chambre Double avec Vue sur la Marina de Dubaï,room,standard,private bathroom,double/double-or-twin,double,not club,no balcony,dubai-marina view
Habitación Cuádruple con Vista al Jardín,room,standard,private bathroom,double/double-or-twin,quadruple,not club,no balcony,garden view
Oda - Dubai Marina Manzarası,room,standard,private bathroom,double/double-or-twin,double,not club,no balcony,dubai-marina view
Студия с видом на море,studio,luxury,private bathroom,double/double-or-twin,double,not club,no balcony,sea view
Suite avec Vue sur le Jardin,suite,deluxe,private bathroom,double/double-or-twin,double,not club,no balcony,garden view
Habitación Doble con Vista al Océano,room,standard,private bathroom,double/double-or-twin,double,not club,no balcony,ocean view
Oda - Kremlin Manzarası,room,standard,private bathroom,double/double-or-twin,double,not club,no balcony,kremlin view
Номер с видом на океан,room,deluxe,private bathroom,double/double-or-twin,double,not club,no balcony,ocean view
Chambre Luxe avec Vue sur la Ville,suite,luxury,private bathroom,double/double-or-twin,double,not club,no balcony,city view
Habitación Triple con Vista al Jardín,room,standard,private bathroom,double/double-or-twin,triple,not club,no balcony,garden view
Oda - Şehir Manzaralı,room,standard,private bathroom,double/double-or-twin,double,not club,no balcony,city view
Стандартный номер с видом на сад,room,standard,private bathroom,double/double-or-twin,double,not club,no balcony,garden view
Chambre avec Vue sur la Mer,suite,deluxe,private bathroom,double/double-or-twin,double,not club,no balcony,sea view
Habitación con Vista a la Playa,room,standard,private bathroom,double/double-or-twin,double,not club,no balcony,beachfront
Oda - Bahçe Manzarası,room,standard,private bathroom,double/double-or-twin,double,not club,no balcony,garden view
Студия с видом на город,studio,luxury,private bathroom,double/double-or-twin,double,not club,no balcony,city view
Suite avec Vue sur le Lac,suite,premium,private bathroom,double/double-or-twin,double,not club,no balcony,lake view
Habitación Doble con Vista a la Montaña,room,standard,private bathroom,double/double-or-twin,double,not club,no balcony,mountain view
Oda - Göl Manzaralı,room,standard,private bathroom,double/double-or-twin,double,not club,no balcony,lake view
Номер с видом на пляж,room,deluxe,private bathroom,double/double-or-twin,double,not club,no balcony,beachfront
Chambre avec Vue sur le Port,suite,deluxe,private bathroom,double/double-or-twin,double,not club,no balcony,port view
Habitación Cuádruple con Vista a la Ciudad,room,standard,private bathroom,double/double-or-twin,quadruple,not club,no balcony,city view
Oda - Dağ Manzaralı,room,standard,private bathroom,double/double-or-twin,double,not club,no balcony,mountain view
Студия с видом на закат,studio,premium,private bathroom,double/double-or-twin,double,not club,no balcony,sunset view
Chambre Double avec Vue sur le Rivière,room,standard,private bathroom,double/double-or-twin,double,not club,no balcony,river view
Habitación con Vista al Jardín,room,standard,private bathroom,double/double-or-twin,double,not club,no balcony,garden view
Oda - Nehir Manzaralı,room,standard,private bathroom,double/double-or-twin,double,not club,no balcony,river view
